record,created_at
25.2*2*22.4,2024-07-20 21:00:51
23.3*2*20.8,2024-07-21 02:42:32
23.3*2*20.8,2024-07-21 03:00:46
24.0*2*23.5,2024-07-21 06:42:24
26.7*2*27.4,2024-07-21 08:03:10
26.7*2*27.5,2024-07-21 09:00:44
27.1*2*26.2,2024-07-21 15:00:43
22.2*2*20.4,2024-07-21 18:08:11
22.3*2*20.5,2024-07-21 21:00:43
22.1*2*20.1,2024-07-22 03:00:49
21.5*2*19.6,2024-07-22 09:00:43
25.0*2*23.9,2024-07-22 15:00:42
22.3*2*20.9,2024-07-22 21:00:53
21.2*2*19.0,2024-07-23 03:00:43
20.3*2*18.6,2024-07-23 09:00:45
25.7*2*22.1,2024-07-23 14:53:23
25.8*2*22.1,2024-07-23 15:00:47
25.7*2*22.2,2024-07-23 21:00:47
23.1*2*21.8,2024-07-24 03:00:46
22.6*2*20.6,2024-07-24 09:00:44
26.9*2*26.0,2024-07-24 15:00:52
25.0*2*2,2024-07-24 17:34:09
25.1*2*2,2024-07-24 17:46:48
26.1*2*21.7,2024-07-24 17:55:12
26.6*2*21.1,2024-07-24 21:00:45
26.8*2*20.9,2024-07-25 03:00:44
29.5*2*20.5,2024-07-25 09:00:43
31.5*2*28.6,2024-07-25 15:00:43
30.5*2*26.1,2024-07-25 21:00:45
26.7*2*23.0,2024-07-26 03:00:44
25.6*2*20.7,2024-07-26 09:00:52
27.7*2*27.8,2024-07-26 15:00:42
23.3*2*22.2,2024-07-26 19:02:39
23.3*2*22.2,2024-07-26 21:00:53
22.0*2*21.9,2024-07-27 03:00:44
20.0*2*20.6,2024-07-27 09:00:47
26.4*2*27.6,2024-07-27 15:00:43
26.5*2*26.5,2024-07-27 15:22:06
26.4*2*26.4,2024-07-27 15:26:08
26.4*2*26.4,2024-07-27 15:29:34
26.2*2*26.3,2024-07-27 15:44:03
25.1*2*25.1,2024-07-27 16:38:11
24.7*2*24.7,2024-07-27 16:56:18
24.5*2*24.7,2024-07-27 17:07:24
24.3*2*24.5,2024-07-27 17:20:46
23.9*2*24.3,2024-07-27 17:40:54
22.8*2*23.6,2024-07-27 18:51:02
22.7*2*23.8,2024-07-27 18:58:02
22.5*2*23.8,2024-07-27 19:25:52
22.5*2*23.6,2024-07-27 19:39:18
22.5*2*23.5,2024-07-27 19:45:34
22.4*2*23.5,2024-07-27 19:54:11
