record,created_at
73.4*2*93.2,2024-07-25 09:00:43
82.9*2*62.2,2024-07-25 15:00:43
87.4*2*64.1,2024-07-25 21:00:45
89.4*2*85.5,2024-07-26 03:00:44
85.8*2*87.7,2024-07-26 09:00:52
84.4*2*71.2,2024-07-26 15:00:42
84.2*2*77.5,2024-07-26 19:02:39
84.0*2*77.6,2024-07-26 21:00:53
83.3*2*80.0,2024-07-27 03:00:44
86.1*2*88.4,2024-07-27 09:00:47
85.6*2*70.9,2024-07-27 15:00:43
84.7*2*69.2,2024-07-27 15:22:06
84.6*2*68.9,2024-07-27 15:26:08
84.5*2*68.8,2024-07-27 15:29:34
83.8*2*68.9,2024-07-27 15:44:03
83.2*2*73.3,2024-07-27 16:38:11
83.1*2*74.4,2024-07-27 16:56:18
83.2*2*75.1,2024-07-27 17:07:24
83.2*2*75.7,2024-07-27 17:20:46
83.4*2*77.2,2024-07-27 17:40:54
83.4*2*80.9,2024-07-27 18:51:02
83.4*2*81.0,2024-07-27 18:58:02
83.4*2*81.0,2024-07-27 19:25:52
83.5*2*81.2,2024-07-27 19:39:18
83.6*2*81.4,2024-07-27 19:45:34
83.8*2*81.0,2024-07-27 19:54:11
83.7*2*80.8,2024-07-27 19:56:53
83.8*2*80.9,2024-07-27 20:13:29
83.9*2*80.9,2024-07-27 20:16:12
84.0*2*81.1,2024-07-27 20:24:44
83.9*2*81.4,2024-07-27 20:33:20
83.9*2*82.0,2024-07-27 20:36:11
83.9*2*83.5,2024-07-27 20:53:34
83.9*2*84.7,2024-07-27 21:03:15
83.7*2*86.0,2024-07-27 21:29:21
83.9*2*86.3,2024-07-27 21:33:31
83.8*2*85.4,2024-07-27 21:51:20
83.6*2*84.9,2024-07-27 22:00:00
83.7*2*85.2,2024-07-27 22:20:28
83.8*2*85.4,2024-07-27 22:56:33
83.9*2*85.1,2024-07-27 23:04:47
84.4*2*84.9,2024-07-27 23:10:20
84.4*2*84.2,2024-07-27 23:50:19
84.5*2*84.6,2024-07-28 00:14:42
